time-point	#client-msg	#server-msg	client-bytes	server-bytes	avg-client-bytes	avg-server-bytes
1970-01-01 01:00:00	38	10	1654	5444	43.00	544.00
1970-01-01 01:00:01	42	10	1774	5524	42.00	552.00
1970-01-01 01:00:02	34	11	1499	6236	44.00	566.00
1970-01-01 01:00:03	35	9	1523	4634	43.00	514.00
1970-01-01 01:00:04	33	11	1393	6026	42.00	547.00
1970-01-01 01:00:05	36	12	1558	6400	43.00	533.00
1970-01-01 01:00:06	34	11	1481	5749	43.00	522.00
1970-01-01 01:00:07	32	8	1379	4258	43.00	532.00
1970-01-01 01:00:08	36	10	1496	5372	41.00	537.00
1970-01-01 01:00:09	31	10	1339	4995	43.00	499.00
1970-01-01 01:00:10	33	10	1412	5266	42.00	526.00
1970-01-01 01:00:11	36	11	1549	5627	43.00	511.00
1970-01-01 01:00:12	37	10	1626	5041	43.00	504.00
1970-01-01 01:00:13	35	9	1523	4459	43.00	495.00
1970-01-01 01:00:14	32	13	1444	6726	45.00	517.00
1970-01-01 01:00:15	41	10	1844	5020	44.00	502.00
1970-01-01 01:00:16	38	10	1672	4907	44.00	490.00
1970-01-01 01:00:17	37	8	1568	3529	42.00	441.00
1970-01-01 01:00:18	36	7	1571	3303	43.00	471.00
1970-01-01 01:00:19	38	10	1646	4569	43.00	456.00
1970-01-01 01:00:20	34	11	1436	5292	42.00	481.00
1970-01-01 01:00:21	32	9	1391	4163	43.00	462.00
1970-01-01 01:00:22	37	10	1609	4555	43.00	455.00
1970-01-01 01:00:23	36	11	1526	5116	42.00	465.00
1970-01-01 01:00:24	32	13	1418	5531	44.00	425.00
1970-01-01 01:00:25	37	11	1594	5290	43.00	480.00
1970-01-01 01:00:26	34	12	1448	5770	42.00	480.00
1970-01-01 01:00:27	43	10	1973	4296	45.00	429.00
1970-01-01 01:00:28	31	11	1392	4637	44.00	421.00
1970-01-01 01:00:29	37	11	1658	4616	44.00	419.00
1970-01-01 01:00:30	37	12	1697	5433	45.00	452.00
1970-01-01 01:00:31	41	11	1832	4753	44.00	432.00
1970-01-01 01:00:32	41	12	1831	5538	44.00	461.00
1970-01-01 01:00:33	34	10	1523	4637	44.00	463.00
1970-01-01 01:00:34	33	14	1496	6074	45.00	433.00
1970-01-01 01:00:35	41	11	1775	4634	43.00	421.00
1970-01-01 01:00:36	37	9	1598	3403	43.00	378.00
1970-01-01 01:00:37	32	12	1333	4710	41.00	392.00
1970-01-01 01:00:38	31	13	1365	5343	44.00	411.00
1970-01-01 01:00:39	37	14	1580	5689	42.00	406.00
1970-01-01 01:00:40	29	11	1241	4240	42.00	385.00
1970-01-01 01:00:41	32	10	1467	3946	45.00	394.00
1970-01-01 01:00:42	40	14	1695	5395	42.00	385.00
1970-01-01 01:00:43	31	13	1305	4438	42.00	341.00
1970-01-01 01:00:44	44	9	1826	3146	41.00	349.00
1970-01-01 01:00:45	38	8	1687	3038	44.00	379.00
1970-01-01 01:00:46	30	11	1287	4580	42.00	416.00
1970-01-01 01:00:47	38	10	1653	3773	43.00	377.00
1970-01-01 01:00:48	31	10	1367	3429	44.00	342.00
1970-01-01 01:00:49	28	14	1150	5107	41.00	364.00
1970-01-01 01:00:50	42	13	1739	4550	41.00	350.00
1970-01-01 01:00:51	38	13	1664	4380	43.00	336.00
1970-01-01 01:00:52	37	11	1731	3784	46.00	344.00
1970-01-01 01:00:53	43	11	1795	4046	41.00	367.00
1970-01-01 01:00:54	30	11	1260	4113	42.00	373.00
1970-01-01 01:00:55	38	14	1696	4624	44.00	330.00
1970-01-01 01:00:56	31	10	1324	3170	42.00	317.00
1970-01-01 01:00:57	28	14	1238	4681	44.00	334.00
1970-01-01 01:00:58	32	10	1406	3497	43.00	349.00
1970-01-01 01:00:59	33	11	1389	3565	42.00	324.00
1970-01-01 01:01:00	39	13	1711	4027	43.00	309.00
1970-01-01 01:01:01	36	10	1530	3076	42.00	307.00
1970-01-01 01:01:02	41	14	1762	4389	42.00	313.00
1970-01-01 01:01:03	27	11	1180	3596	43.00	326.00
1970-01-01 01:01:04	33	10	1381	2829	41.00	282.00
1970-01-01 01:01:05	33	12	1479	3588	44.00	299.00
1970-01-01 01:01:06	37	10	1723	3011	46.00	301.00
1970-01-01 01:01:07	39	10	1717	3264	44.00	326.00
1970-01-01 01:01:08	35	12	1584	3721	45.00	310.00
1970-01-01 01:01:09	30	13	1402	3323	46.00	255.00
1970-01-01 01:01:10	37	14	1564	3624	42.00	258.00
1970-01-01 01:01:11	40	12	1696	3242	42.00	270.00
1970-01-01 01:01:12	40	12	1719	3293	42.00	274.00
1970-01-01 01:01:13	31	12	1349	3177	43.00	264.00
1970-01-01 01:01:14	38	11	1651	2655	43.00	241.00
1970-01-01 01:01:15	44	10	1912	2762	43.00	276.00
1970-01-01 01:01:16	36	11	1516	2839	42.00	258.00
1970-01-01 01:01:17	34	12	1421	2998	41.00	249.00
1970-01-01 01:01:18	42	14	1848	3785	44.00	270.00
1970-01-01 01:01:19	30	13	1202	3118	40.00	239.00
1970-01-01 01:01:20	38	13	1643	3473	43.00	267.00
1970-01-01 01:01:21	30	12	1277	2882	42.00	240.00
1970-01-01 01:01:22	32	13	1399	3071	43.00	236.00
1970-01-01 01:01:23	39	16	1728	3867	44.00	241.00
1970-01-01 01:01:24	33	15	1510	3565	45.00	237.00
1970-01-01 01:01:25	35	16	1530	3524	43.00	220.00
1970-01-01 01:01:26	37	13	1698	2704	45.00	208.00
1970-01-01 01:01:27	39	10	1670	2046	42.00	204.00
1970-01-01 01:01:28	41	12	1728	2825	42.00	235.00
1970-01-01 01:01:29	33	9	1395	1994	42.00	221.00
1970-01-01 01:01:30	36	14	1608	2704	44.00	193.00
1970-01-01 01:01:31	36	14	1667	2429	46.00	173.00
1970-01-01 01:01:32	36	15	1530	2991	42.00	199.00
1970-01-01 01:01:33	35	15	1547	3134	44.00	208.00
1970-01-01 01:01:34	36	14	1644	2979	45.00	212.00
1970-01-01 01:01:35	34	11	1360	1988	40.00	180.00
1970-01-01 01:01:36	30	17	1246	3079	41.00	181.00
1970-01-01 01:01:37	34	14	1519	2281	44.00	162.00
1970-01-01 01:01:38	44	14	1928	2056	43.00	146.00
1970-01-01 01:01:39	32	14	1464	2479	45.00	177.00
1970-01-01 01:01:40	35	13	1545	2348	44.00	180.00
1970-01-01 01:01:41	37	14	1511	2309	40.00	164.00
