time-point	#client-msg	#server-msg	client-bytes	server-bytes	avg-client-bytes	avg-server-bytes
1970-01-01 01:00:00	37	10	1644	5407	44.00	540.00
1970-01-01 01:00:01	30	7	1316	3659	43.00	522.00
1970-01-01 01:00:02	34	8	1481	4478	43.00	559.00
1970-01-01 01:00:03	37	11	1657	5768	44.00	524.00
1970-01-01 01:00:04	32	10	1436	5553	44.00	555.00
1970-01-01 01:00:05	34	11	1575	5873	46.00	533.00
1970-01-01 01:00:06	35	11	1433	5713	40.00	519.00
1970-01-01 01:00:07	39	6	1807	3224	46.00	537.00
1970-01-01 01:00:08	34	9	1457	4598	42.00	510.00
1970-01-01 01:00:09	35	10	1500	4800	42.00	480.00
1970-01-01 01:00:10	39	8	1717	4122	44.00	515.00
1970-01-01 01:00:11	34	9	1493	4600	43.00	511.00
1970-01-01 01:00:12	30	8	1279	3833	42.00	479.00
1970-01-01 01:00:13	46	11	2016	5609	43.00	509.00
1970-01-01 01:00:14	38	12	1509	5833	39.00	486.00
1970-01-01 01:00:15	42	12	1784	5879	42.00	489.00
1970-01-01 01:00:16	35	10	1497	5053	42.00	505.00
1970-01-01 01:00:17	34	9	1463	4659	43.00	517.00
1970-01-01 01:00:18	41	10	1797	4909	43.00	490.00
1970-01-01 01:00:19	29	9	1178	4397	40.00	488.00
1970-01-01 01:00:20	28	12	1260	5980	45.00	498.00
1970-01-01 01:00:21	36	7	1527	3128	42.00	446.00
1970-01-01 01:00:22	38	12	1666	5528	43.00	460.00
1970-01-01 01:00:23	31	12	1308	5723	42.00	476.00
1970-01-01 01:00:24	42	13	1847	5798	43.00	446.00
1970-01-01 01:00:25	35	11	1492	4961	42.00	451.00
1970-01-01 01:00:26	37	14	1553	5985	41.00	427.00
1970-01-01 01:00:27	32	11	1439	4703	44.00	427.00
1970-01-01 01:00:28	39	11	1756	4872	45.00	442.00
1970-01-01 01:00:29	34	9	1587	3962	46.00	440.00
1970-01-01 01:00:30	34	10	1441	3997	42.00	399.00
1970-01-01 01:00:31	29	9	1246	3841	42.00	426.00
1970-01-01 01:00:32	38	12	1676	5264	44.00	438.00
1970-01-01 01:00:33	37	11	1651	4692	44.00	426.00
1970-01-01 01:00:34	35	14	1538	5729	43.00	409.00
1970-01-01 01:00:35	37	11	1629	4543	44.00	413.00
1970-01-01 01:00:36	31	14	1304	5794	42.00	413.00
1970-01-01 01:00:37	39	8	1694	3218	43.00	402.00
1970-01-01 01:00:38	45	12	2032	4962	45.00	413.00
1970-01-01 01:00:39	39	11	1733	4236	44.00	385.00
1970-01-01 01:00:40	32	13	1364	5065	42.00	389.00
1970-01-01 01:00:41	43	9	1894	3384	44.00	376.00
1970-01-01 01:00:42	39	12	1648	5287	42.00	440.00
1970-01-01 01:00:43	41	13	1759	5070	42.00	390.00
1970-01-01 01:00:44	25	13	1165	5147	46.00	395.00
1970-01-01 01:00:45	34	11	1498	4156	44.00	377.00
1970-01-01 01:00:46	40	12	1683	4436	42.00	369.00
1970-01-01 01:00:47	38	11	1619	4005	42.00	364.00
1970-01-01 01:00:48	31	13	1367	4728	44.00	363.00
1970-01-01 01:00:49	33	9	1433	3323	43.00	369.00
1970-01-01 01:00:50	33	12	1380	4476	41.00	373.00
1970-01-01 01:00:51	39	9	1754	3044	44.00	338.00
1970-01-01 01:00:52	30	11	1322	3821	44.00	347.00
1970-01-01 01:00:53	36	13	1571	4292	43.00	330.00
1970-01-01 01:00:54	34	14	1509	4553	44.00	325.00
1970-01-01 01:00:55	34	12	1498	4128	44.00	344.00
1970-01-01 01:00:56	34	13	1414	4510	41.00	346.00
1970-01-01 01:00:57	38	9	1681	3202	44.00	355.00
1970-01-01 01:00:58	41	11	1764	3730	43.00	339.00
1970-01-01 01:00:59	40	12	1728	4077	43.00	339.00
1970-01-01 01:01:00	40	15	1764	4361	44.00	290.00
1970-01-01 01:01:01	29	14	1227	4057	42.00	289.00
1970-01-01 01:01:02	34	13	1511	4265	44.00	328.00
1970-01-01 01:01:03	32	13	1406	4277	43.00	329.00
1970-01-01 01:01:04	38	10	1611	3276	42.00	327.00
1970-01-01 01:01:05	38	13	1705	3729	44.00	286.00
1970-01-01 01:01:06	37	13	1626	3708	43.00	285.00
1970-01-01 01:01:07	37	13	1585	3816	42.00	293.00
1970-01-01 01:01:08	34	11	1584	3278	46.00	298.00
1970-01-01 01:01:09	41	8	1815	2274	44.00	284.00
1970-01-01 01:01:10	34	13	1459	3907	42.00	300.00
1970-01-01 01:01:11	36	14	1531	3866	42.00	276.00
1970-01-01 01:01:12	41	12	1894	3183	46.00	265.00
1970-01-01 01:01:13	38	15	1579	3692	41.00	246.00
1970-01-01 01:01:14	31	14	1262	3834	40.00	273.00
1970-01-01 01:01:15	33	15	1352	3817	40.00	254.00
1970-01-01 01:01:16	36	17	1543	4371	42.00	257.00
1970-01-01 01:01:17	40	14	1696	3461	42.00	247.00
1970-01-01 01:01:18	40	16	1817	3599	45.00	224.00
1970-01-01 01:01:19	34	16	1495	3864	43.00	241.00
1970-01-01 01:01:20	35	12	1533	2756	43.00	229.00
1970-01-01 01:01:21	33	13	1439	2958	43.00	227.00
1970-01-01 01:01:22	34	14	1533	3385	45.00	241.00
1970-01-01 01:01:23	41	12	1715	2533	41.00	211.00
1970-01-01 01:01:24	35	12	1577	2917	45.00	243.00
1970-01-01 01:01:25	44	12	1954	2482	44.00	206.00
1970-01-01 01:01:26	42	11	1835	2237	43.00	203.00
1970-01-01 01:01:27	39	16	1747	3081	44.00	192.00
1970-01-01 01:01:28	33	15	1491	3393	45.00	226.00
1970-01-01 01:01:29	42	10	1875	2233	44.00	223.00
1970-01-01 01:01:30	33	11	1472	2262	44.00	205.00
1970-01-01 01:01:31	30	14	1227	2834	40.00	202.00
1970-01-01 01:01:32	34	11	1463	2251	43.00	204.00
1970-01-01 01:01:33	39	13	1649	2702	42.00	207.00
1970-01-01 01:01:34	37	12	1588	2298	42.00	191.00
1970-01-01 01:01:35	40	14	1704	2642	42.00	188.00
1970-01-01 01:01:36	38	14	1692	2528	44.00	180.00
1970-01-01 01:01:37	35	14	1491	2290	42.00	163.00
1970-01-01 01:01:38	32	16	1405	2422	43.00	151.00
1970-01-01 01:01:39	45	17	1970	2838	43.00	166.00
1970-01-01 01:01:40	38	11	1679	1648	44.00	149.00
1970-01-01 01:01:41	31	13	1334	2165	43.00	166.00
1970-01-01 01:01:42	40	13	1708	1754	42.00	134.00
1970-01-01 01:01:43	29	14	1209	2272	41.00	162.00
1970-01-01 01:01:44	37	14	1627	1381	43.00	98.00
1970-01-01 01:01:45	39	14	1714	2157	43.00	154.00
1970-01-01 01:01:46	36	15	1565	2351	43.00	156.00
1970-01-01 01:01:47	33	14	1458	2120	44.00	151.00
1970-01-01 01:01:48	35	17	1605	2277	45.00	133.00
1970-01-01 01:01:49	32	11	1280	1442	40.00	131.00
1970-01-01 01:01:50	38	14	1734	1975	45.00	141.00
1970-01-01 01:01:51	34	11	1431	1206	42.00	109.00
1970-01-01 01:01:52	35	13	1532	1484	43.00	114.00
1970-01-01 01:01:53	30	15	1341	1420	44.00	94.00
1970-01-01 01:01:54	35	15	1557	1740	44.00	116.00
1970-01-01 01:01:55	35	13	1553	1738	44.00	133.00
1970-01-01 01:01:56	39	14	1666	1383	42.00	98.00
1970-01-01 01:01:57	40	16	1818	1639	45.00	102.00
1970-01-01 01:01:58	30	12	1333	1363	44.00	113.00
1970-01-01 01:01:59	36	14	1599	1264	44.00	90.00
1970-01-01 01:02:00	33	15	1498	1211	45.00	80.00
1970-01-01 01:02:01	37	15	1607	935	43.00	62.00
1970-01-01 01:02:02	33	17	1475	1257	44.00	73.00
1970-01-01 01:02:03	32	15	1406	1071	43.00	71.00
1970-01-01 01:02:04	37	16	1650	1405	44.00	87.00
1970-01-01 01:02:05	43	14	1805	1060	41.00	75.00
1970-01-01 01:02:06	35	14	1437	915	41.00	65.00
