time	in/out	protocol	payload-size	total-size
1970-01-01 01:00:00.000000	out	udp:data	56	98
1970-01-01 01:00:00.000000	in	udp:data	471	513
1970-01-01 01:00:00.026316	out	udp:data	33	75
1970-01-01 01:00:00.052632	out	udp:data	61	103
1970-01-01 01:00:00.078947	out	udp:data	45	87
1970-01-01 01:00:00.100000	in	udp:data	511	553
1970-01-01 01:00:00.105263	out	udp:data	32	74
1970-01-01 01:00:00.131579	out	udp:data	42	84
1970-01-01 01:00:00.157895	out	udp:data	52	94
1970-01-01 01:00:00.184211	out	udp:data	50	92
1970-01-01 01:00:00.200000	in	udp:data	640	682
1970-01-01 01:00:00.210526	out	udp:data	34	76
1970-01-01 01:00:00.236842	out	udp:data	38	80
1970-01-01 01:00:00.263158	out	udp:data	53	95
1970-01-01 01:00:00.289474	out	udp:data	43	85
1970-01-01 01:00:00.300000	in	udp:data	497	539
1970-01-01 01:00:00.315789	out	udp:data	65	107
1970-01-01 01:00:00.342105	out	udp:data	28	70
1970-01-01 01:00:00.368421	out	udp:data	39	81
1970-01-01 01:00:00.394737	out	udp:data	40	82
1970-01-01 01:00:00.400000	in	udp:data	409	451
1970-01-01 01:00:00.421053	out	udp:data	43	85
1970-01-01 01:00:00.447368	out	udp:data	47	89
1970-01-01 01:00:00.473684	out	udp:data	43	85
1970-01-01 01:00:00.500000	out	udp:data	42	84
1970-01-01 01:00:00.500000	in	udp:data	528	570
1970-01-01 01:00:00.526316	out	udp:data	35	77
1970-01-01 01:00:00.552632	out	udp:data	37	79
1970-01-01 01:00:00.578947	out	udp:data	48	90
1970-01-01 01:00:00.600000	in	udp:data	619	661
1970-01-01 01:00:00.605263	out	udp:data	58	100
1970-01-01 01:00:00.631579	out	udp:data	41	83
1970-01-01 01:00:00.657895	out	udp:data	27	69
1970-01-01 01:00:00.684211	out	udp:data	52	94
1970-01-01 01:00:00.700000	in	udp:data	613	655
1970-01-01 01:00:00.710526	out	udp:data	38	80
1970-01-01 01:00:00.736842	out	udp:data	39	81
1970-01-01 01:00:00.763158	out	udp:data	49	91
1970-01-01 01:00:00.789474	out	udp:data	52	94
1970-01-01 01:00:00.800000	in	udp:data	644	686
1970-01-01 01:00:00.815789	out	udp:data	50	92
1970-01-01 01:00:00.842105	out	udp:data	41	83
1970-01-01 01:00:00.868421	out	udp:data	33	75
1970-01-01 01:00:00.894737	out	udp:data	35	77
1970-01-01 01:00:00.900000	in	udp:data	571	613
1970-01-01 01:00:00.921053	out	udp:data	50	92
1970-01-01 01:00:00.947368	out	udp:data	29	71
1970-01-01 01:00:00.973684	out	udp:data	31	73
1970-01-01 01:00:01.000000	out	udp:data	57	99
1970-01-01 01:00:01.000000	in	udp:data	488	530
1970-01-01 01:00:01.030303	out	udp:data	49	91
1970-01-01 01:00:01.060606	out	udp:data	52	94
1970-01-01 01:00:01.090909	out	udp:data	47	89
1970-01-01 01:00:01.100000	in	udp:data	446	488
1970-01-01 01:00:01.121212	out	udp:data	44	86
1970-01-01 01:00:01.151515	out	udp:data	43	85
1970-01-01 01:00:01.181818	out	udp:data	48	90
1970-01-01 01:00:01.200000	in	udp:data	632	674
1970-01-01 01:00:01.212121	out	udp:data	44	86
1970-01-01 01:00:01.242424	out	udp:data	40	82
1970-01-01 01:00:01.272727	out	udp:data	52	94
1970-01-01 01:00:01.300000	in	udp:data	502	544
1970-01-01 01:00:01.303030	out	udp:data	45	87
1970-01-01 01:00:01.333333	out	udp:data	51	93
1970-01-01 01:00:01.363636	out	udp:data	43	85
1970-01-01 01:00:01.393939	out	udp:data	56	98
1970-01-01 01:00:01.400000	in	udp:data	510	552
1970-01-01 01:00:01.424242	out	udp:data	36	78
1970-01-01 01:00:01.454545	out	udp:data	44	86
1970-01-01 01:00:01.484848	out	udp:data	30	72
1970-01-01 01:00:01.500000	in	udp:data	560	602
1970-01-01 01:00:01.515152	out	udp:data	38	80
1970-01-01 01:00:01.545455	out	udp:data	56	98
1970-01-01 01:00:01.575758	out	udp:data	40	82
1970-01-01 01:00:01.600000	in	udp:data	582	624
1970-01-01 01:00:01.606061	out	udp:data	43	85
1970-01-01 01:00:01.636364	out	udp:data	34	76
1970-01-01 01:00:01.666667	out	udp:data	46	88
1970-01-01 01:00:01.696970	out	udp:data	55	97
1970-01-01 01:00:01.700000	in	udp:data	578	620
1970-01-01 01:00:01.727273	out	udp:data	46	88
1970-01-01 01:00:01.757576	out	udp:data	46	88
1970-01-01 01:00:01.787879	out	udp:data	42	84
1970-01-01 01:00:01.800000	in	udp:data	525	567
1970-01-01 01:00:01.818182	out	udp:data	47	89
